,number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.7710603118431135,2.7874873710006796,2026-01-01 23:43:29.293075,2026-01-01 23:45:53.396877,0 days 00:02:24.103802,0.846470458309974,0.16239780813448107,0.2536999076681772,2,11,2,1062,0.004042872735027332,0.017718847354806822,0.6203292642588698,COMPLETE
1,1,0.7734410477970409,1.4994948800012935,2026-01-01 23:45:53.397938,2026-01-01 23:47:10.734504,0 days 00:01:17.336566,0.7099025726528951,0.17336180394137352,0.2708160864249968,2,11,0,530,0.0003905441275210792,5.589524205217924e-05,0.7064847850358382,COMPLETE
2,2,0.7878116088500509,3.986837058999299,2026-01-01 23:47:10.735563,2026-01-01 23:50:13.277542,0 days 00:03:02.541979,0.7056937753654446,0.41407038455720546,0.01607123851203988,4,8,1,1418,0.003584985580340473,1.899776347411128e-06,0.6698858237554259,COMPLETE
3,3,0.7725749743229018,2.8710331750007754,2026-01-01 23:50:13.278655,2026-01-01 23:52:45.774517,0 days 00:02:32.495862,0.5390688456025535,0.4233589392465845,0.0178601378893971,8,6,3,1411,0.012746711578215055,0.0004374364439939079,0.7066148192106797,COMPLETE
4,4,0.7829610496479973,1.360773350999807,2026-01-01 23:52:45.775529,2026-01-01 23:54:01.371139,0 days 00:01:15.595610,0.7080272084711243,0.36500891374159283,0.05388108577817234,3,6,3,683,0.0019066091638188462,1.2856617791467936e-05,0.7090988766312938,COMPLETE
5,5,0.7739161199894321,4.855122911001672,2026-01-01 23:54:01.372335,2026-01-01 23:57:54.329615,0 days 00:03:52.957280,0.578393144967658,0.4687496940092467,0.13962563737015762,5,12,3,1955,1.867943489455632e-06,8.953276247642703e-05,0.6309723757181718,COMPLETE
6,6,0.7837396641196713,3.9811656810015847,2026-01-01 23:57:54.330700,2026-01-02 00:00:58.135231,0 days 00:03:03.804531,0.8208787923016159,0.31707843326329943,0.02516607127550297,3,11,1,1083,2.800940363375678e-06,0.8342988013047348,0.6493234787411669,COMPLETE
7,7,0.7823214543408665,3.341797103999852,2026-01-02 00:00:58.136373,2026-01-02 00:03:53.875750,0 days 00:02:55.739377,0.5296178606936361,0.3916028672163949,0.019657448966046126,6,6,3,1659,0.0001415123591905371,4.956947932799957e-06,0.869944621340081,COMPLETE
8,8,0.7858613412045263,3.669211758999154,2026-01-02 00:03:53.876852,2026-01-02 00:07:16.582274,0 days 00:03:22.705422,0.7550229885420853,0.23007332881069884,0.08330803890301997,3,8,0,1795,0.21051180519608725,0.0006812233896860299,0.8553621624183224,COMPLETE
9,9,0.7852660659312024,2.0926693539986445,2026-01-02 00:07:16.583423,2026-01-02 00:08:55.285918,0 days 00:01:38.702495,0.6710164073434198,0.2975182385457563,0.1131225105716033,7,11,2,679,1.420740499067605e-06,4.4396482429275274e-06,0.7829564902836978,COMPLETE
