,number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.7710603118431135,2.7530240269998103,2026-01-01 21:23:35.424644,2026-01-01 21:25:59.970836,0 days 00:02:24.546192,0.846470458309974,0.16239780813448107,0.2536999076681772,2,11,2,1062,0.004042872735027332,0.017718847354806822,0.6203292642588698,COMPLETE
1,1,0.7734410477970409,1.50465238400011,2026-01-01 21:25:59.972079,2026-01-01 21:27:17.194942,0 days 00:01:17.222863,0.7099025726528951,0.17336180394137352,0.2708160864249968,2,11,0,530,0.0003905441275210792,5.589524205217924e-05,0.7064847850358382,COMPLETE
2,2,0.7878116088500509,4.00122495100004,2026-01-01 21:27:17.196219,2026-01-01 21:30:19.488962,0 days 00:03:02.292743,0.7056937753654446,0.41407038455720546,0.01607123851203988,4,8,1,1418,0.003584985580340473,1.899776347411128e-06,0.6698858237554259,COMPLETE
3,3,0.7725749743229018,2.913851913000144,2026-01-01 21:30:19.490365,2026-01-01 21:32:51.974847,0 days 00:02:32.484482,0.5390688456025535,0.4233589392465845,0.0178601378893971,8,6,3,1411,0.012746711578215055,0.0004374364439939079,0.7066148192106797,COMPLETE
4,4,0.7829610496479973,1.3596281560003263,2026-01-01 21:32:51.975928,2026-01-01 21:34:07.462090,0 days 00:01:15.486162,0.7080272084711243,0.36500891374159283,0.05388108577817234,3,6,3,683,0.0019066091638188462,1.2856617791467936e-05,0.7090988766312938,COMPLETE
5,5,0.7739161199894321,4.87251124300019,2026-01-01 21:34:07.463168,2026-01-01 21:38:00.335549,0 days 00:03:52.872381,0.578393144967658,0.4687496940092467,0.13962563737015762,5,12,3,1955,1.867943489455632e-06,8.953276247642703e-05,0.6309723757181718,COMPLETE
6,6,0.7837396641196713,3.9704982319999544,2026-01-01 21:38:00.336730,2026-01-01 21:41:04.027224,0 days 00:03:03.690494,0.8208787923016159,0.31707843326329943,0.02516607127550297,3,11,1,1083,2.800940363375678e-06,0.8342988013047348,0.6493234787411669,COMPLETE
7,7,0.7823214543408665,3.315484593000292,2026-01-01 21:41:04.028383,2026-01-01 21:43:59.645116,0 days 00:02:55.616733,0.5296178606936361,0.3916028672163949,0.019657448966046126,6,6,3,1659,0.0001415123591905371,4.956947932799957e-06,0.869944621340081,COMPLETE
8,8,0.7858613412045263,3.706806570000481,2026-01-01 21:43:59.646326,2026-01-01 21:47:22.433887,0 days 00:03:22.787561,0.7550229885420853,0.23007332881069884,0.08330803890301997,3,8,0,1795,0.21051180519608725,0.0006812233896860299,0.8553621624183224,COMPLETE
9,9,0.7852660659312024,2.097243967000395,2026-01-01 21:47:22.435117,2026-01-01 21:49:01.159604,0 days 00:01:38.724487,0.6710164073434198,0.2975182385457563,0.1131225105716033,7,11,2,679,1.420740499067605e-06,4.4396482429275274e-06,0.7829564902836978,COMPLETE
